PRUID,prov,Total,South Asian,Chinese,Black,Filipino,Latin American,Middle Eastern,Southeast Asian,West Asian,Korean,Japanese,"Visible minority, n.i.e",Multiple visible minorities,Indigenous,Caucasian
1,CA,35151728,1924635,1577060,1198545,780125,447320,523235,313260,264305,188710,92920,132090,232375,1673780,25803368
10,NL,519716,2645,2325,2350,1385,635,1375,335,220,75,60,145,255,45725,462186
11,PE,142907,925,2570,825,670,255,585,145,215,210,110,50,85,2735,133527
12,NS,923598,7905,8645,21910,3400,1685,8115,1195,1540,1540,695,635,1390,51490,813453
13,NB,747101,2535,3925,6995,1975,1285,2960,1230,735,1685,230,300,680,29380,693186
24,QC,8164361,90335,99505,319230,34910,133920,213740,62825,32405,8055,4575,9840,23040,182890,6949091
35,ON,13448494,1150415,754545,627715,311670,195955,210435,133860,154670,88940,30835,97970,128590,374395,9188499
46,MB,1278365,42060,22540,30340,79820,9895,5030,8565,2695,4375,1850,3200,6480,223310,838205
47,SK,1098352,29965,15540,14925,32340,4190,4300,5740,2070,1880,955,1145,2815,175020,807467
48,AB,4067175,230925,158200,129395,166200,55085,56700,43985,20980,21275,12165,9905,28355,258640,2875365
59,BC,4648055,365705,508480,43505,145030,44115,19840,54920,48695,60495,41230,8765,40465,270585,2996225
60,YT,35874,500,410,270,1190,135,10,175,30,70,65,15,125,8195,24684
61,NT,41786,615,300,760,1300,135,105,255,50,105,145,90,90,20860,16976
62,NU,35944,110,70,325,235,40,40,25,10,10,0,20,10,30555,4494
